"NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted","Date"
8360.459961,8420.25,8338.660156,8367.30957,3850860000,8367.30957,"2011-04-13"
8367.30957,8385.150391,8297.169922,8374.160156,3872630000,8374.160156,"2011-04-14"
8374.160156,8416.230469,8356.080078,8400.30957,4223740000,8400.30957,"2011-04-15"
8400.30957,8400.30957,8205.790039,8277.110352,4223740000,8277.110352,"2011-04-18"
8277.110352,8332.530273,8277.080078,8332.030273,3886300000,8332.030273,"2011-04-19"
8332.030273,8472.019531,8332.030273,8457.650391,4236280000,8457.650391,"2011-04-20"
8277.110352,8504.360352,8277.110352,8504.360352,3587240000,8504.360352,"2011-04-21"
8504.360352,8505.950195,8459.719727,8485.25,2142130000,8485.25,"2011-04-25"
8485.25,8564.200195,8485.25,8554.990234,3908060000,8554.990234,"2011-04-26"
8554.990234,8619.459961,8521.410156,8609.280273,4051570000,8609.280273,"2011-04-27"
8609.280273,8646.790039,8596.299805,8639.730469,4036820000,8639.730469,"2011-04-28"
8639.730469,8678.099609,8631.339844,8671.410156,3479070000,8671.410156,"2011-04-29"
8671.410156,8718.25,8634.269531,8649.610352,3846250000,8649.610352,"2011-05-02"
8649.610352,8649.610352,8539.679688,8584.679688,4223740000,8584.679688,"2011-05-03"
8584.679688,8584.69043,8471.450195,8506.610352,4223740000,8506.610352,"2011-05-04"
8506.610352,8506.610352,8358.070313,8397.400391,3846250000,8397.400391,"2011-05-05"
8397.400391,8524.259766,8389.889648,8425.900391,4223740000,8425.900391,"2011-05-06"
8397.400391,8491.570313,8397.400391,8478.19043,4265250000,8478.19043,"2011-05-09"
8478.19043,8563.080078,8478.19043,8550.490234,4223740000,8550.490234,"2011-05-10"
8550.490234,8550.490234,8395.80957,8428.089844,3846250000,8428.089844,"2011-05-11"
8428.089844,8475.919922,8350.549805,8456.179688,3777210000,8456.179688,"2011-05-12"
8456.179688,8462.5,8335.129883,8371.669922,3426660000,8371.669922,"2011-05-13"
8371.669922,8425.55957,8325.509766,8336.589844,3846250000,8336.589844,"2011-05-16"
8336.589844,8341.830078,8262.429688,8333.070313,4053970000,8333.070313,"2011-05-17"
8333.070313,8414.290039,8317.379883,8407.480469,3922030000,8407.480469,"2011-05-18"
8407.480469,8448.299805,8378.280273,8427.950195,3626110000,8427.950195,"2011-05-19"
8427.950195,8427.950195,8328.480469,8357.530273,4066020000,8357.530273,"2011-05-20"
8357.530273,8357.530273,8208.669922,8236.549805,3255580000,8236.549805,"2011-05-23"
8236.549805,8299.400391,8232.860352,8252.459961,3846250000,8252.459961,"2011-05-24"
8252.459961,8324.150391,8226.209961,8295.370117,4109670000,8295.370117,"2011-05-25"
8295.370117,8354.429688,8262.30957,8341.660156,3259470000,8341.660156,"2011-05-26"
8341.660156,8411.080078,8341.660156,8386.339844,3124560000,8386.339844,"2011-05-27"
8386.339844,8487.700195,8386.339844,8477.280273,4696240000,8477.280273,"2011-05-31"
8477.280273,8477.280273,8275.599609,8281.589844,4241090000,8281.589844,"2011-06-01"
8281.589844,8313.25,8222.049805,8277.759766,3762170000,8277.759766,"2011-06-02"
8277.759766,8277.759766,8180.040039,8222.150391,3505030000,8222.150391,"2011-06-03"
8222.150391,8222.150391,8106.490234,8115.870117,3555980000,8115.870117,"2011-06-06"
8115.870117,8199.469727,8115.870117,8131.689941,3846250000,8131.689941,"2011-06-07"
8131.689941,8132.810059,8068.169922,8081.350098,3970810000,8081.350098,"2011-06-08"
8081.350098,8178.029785,8081.350098,8149.649902,3332510000,8149.649902,"2011-06-09"
8149.649902,8149.649902,7995.100098,8016.390137,3846250000,8016.390137,"2011-06-10"
8016.390137,8061.22998,7973.529785,8017.060059,4132520000,8017.060059,"2011-06-13"
8017.060059,8160.180176,8017.060059,8132.77002,3500280000,8132.77002,"2011-06-14"
8132.77002,8132.77002,7944.330078,7967.810059,4070500000,7967.810059,"2011-06-15"
7967.810059,8004.180176,7901.080078,7963.600098,3846250000,7963.600098,"2011-06-16"
7963.600098,8048.580078,7963.600098,8000.109863,4916460000,8000.109863,"2011-06-17"
8000.109863,8042.470215,7970.319824,8032.220215,3464660000,8032.220215,"2011-06-20"
8032.220215,8169.680176,8032.220215,8156.27002,4056150000,8156.27002,"2011-06-21"
8156.27002,8176.990234,8099.859863,8101.839844,3718420000,8101.839844,"2011-06-22"
8101.839844,8101.839844,7927.080078,8054.080078,4983450000,8054.080078,"2011-06-23"
8054.080078,8062.149902,7966.669922,7974.720215,3665340000,7974.720215,"2011-06-24"
7974.720215,8056.52002,7959.220215,8031.080078,3479070000,8031.080078,"2011-06-27"
8031.080078,8136.069824,8031.080078,8135.97998,3681500000,8135.97998,"2011-06-28"
8135.97998,8239.44043,8135.97998,8228.5,4347540000,8228.5,"2011-06-29"
8228.5,8327.700195,8228.5,8319.099609,4200500000,8319.099609,"2011-06-30"
8319.099609,8433.610352,8299.389648,8425.480469,3796930000,8425.480469,"2011-07-01"
8425.480469,8430.55957,8387.389648,8404.629883,3722320000,8404.629883,"2011-07-05"
8404.629883,8407.049805,8342.179688,8396.480469,3564190000,8396.480469,"2011-07-06"
8396.480469,8496.419922,8396.480469,8476.129883,4069530000,8476.129883,"2011-07-07"
8476.129883,8476.129883,8350.330078,8410.19043,3594360000,8410.19043,"2011-07-08"
8410.19043,8410.19043,8211.230469,8228.730469,3879130000,8228.730469,"2011-07-11"
8228.730469,8273.410156,8191.049805,8192.75,4227890000,8192.75,"2011-07-12"
8192.75,8328.240234,8192.75,8246.799805,4060080000,8246.799805,"2011-07-13"
8246.799805,8302.660156,8175.220215,8191.129883,4358570000,8191.129883,"2011-07-14"
8191.129883,8237.480469,8177.959961,8227.040039,4242760000,8227.040039,"2011-07-15"
