"STOXX50E.Open","STOXX50E.High","STOXX50E.Low","STOXX50E.Close","STOXX50E.Volume","STOXX50E.Adjusted","Date"
5286.709961,5286.709961,5286.709961,5286.709961,0,5286.709961,"2000-03-20"
5266.22998,5266.22998,5266.22998,5266.22998,0,5266.22998,"2000-03-21"
5268.350098,5268.350098,5268.350098,5268.350098,0,5268.350098,"2000-03-22"
5259.149902,5259.149902,5259.149902,5259.149902,0,5259.149902,"2000-03-23"
5379.75,5379.75,5379.75,5379.75,0,5379.75,"2000-03-24"
5369.109863,5369.109863,5369.109863,5369.109863,0,5369.109863,"2000-03-27"
5426.569824,5426.569824,5426.569824,5426.569824,0,5426.569824,"2000-03-28"
5416.319824,5416.319824,5416.319824,5416.319824,0,5416.319824,"2000-03-29"
5251.970215,5251.970215,5251.970215,5251.970215,0,5251.970215,"2000-03-30"
5249.549805,5249.549805,5249.549805,5249.549805,0,5249.549805,"2000-03-31"
5118.370117,5118.370117,5118.370117,5118.370117,0,5118.370117,"2000-04-03"
5176.709961,5176.709961,5176.709961,5176.709961,0,5176.709961,"2000-04-04"
5044.169922,5044.169922,5044.169922,5044.169922,0,5044.169922,"2000-04-05"
5179.959961,5179.959961,5179.959961,5179.959961,0,5179.959961,"2000-04-06"
5259.52002,5259.52002,5259.52002,5259.52002,0,5259.52002,"2000-04-07"
5282.259766,5282.259766,5282.259766,5282.259766,0,5282.259766,"2000-04-10"
5174.379883,5174.379883,5174.379883,5174.379883,0,5174.379883,"2000-04-11"
5179.279785,5179.279785,5179.279785,5179.279785,0,5179.279785,"2000-04-12"
5181.330078,5181.330078,5181.330078,5181.330078,0,5181.330078,"2000-04-13"
5034.25,5034.25,5034.25,5034.25,0,5034.25,"2000-04-14"
4979.660156,4979.660156,4979.660156,4979.660156,0,4979.660156,"2000-04-17"
5061.899902,5061.899902,5061.899902,5061.899902,0,5061.899902,"2000-04-18"
5078.689941,5078.689941,5078.689941,5078.689941,0,5078.689941,"2000-04-19"
5117.779785,5117.779785,5117.779785,5117.779785,0,5117.779785,"2000-04-20"
NA,NA,NA,NA,NA,NA,"2000-04-21"
NA,NA,NA,NA,NA,NA,"2000-04-24"
5158.129883,5158.129883,5158.129883,5158.129883,0,5158.129883,"2000-04-25"
5245.109863,5245.109863,5245.109863,5245.109863,0,5245.109863,"2000-04-26"
5171.959961,5171.959961,5171.959961,5171.959961,0,5171.959961,"2000-04-27"
5303.950195,5303.950195,5303.950195,5303.950195,0,5303.950195,"2000-04-28"
NA,NA,NA,NA,NA,NA,"2000-05-01"
