"GSPTSE.Open","GSPTSE.High","GSPTSE.Low","GSPTSE.Close","GSPTSE.Volume","GSPTSE.Adjusted","Date"
10200.299805,10252.799805,10181.299805,10227.400391,63473700,10227.400391,"2000-06-26"
10224.900391,10255,10124.599609,10165.5,97968800,10165.5,"2000-06-27"
10209.099609,10279.900391,10209.099609,10231.299805,80916200,10231.299805,"2000-06-28"
10160.099609,10160.099609,10087.599609,10111,75699600,10111,"2000-06-29"
10196.299805,10310.099609,10184.700195,10195.5,58557700,10195.5,"2000-06-30"
10195.5,10195.5,10195.5,10195.5,0,10195.5,"2000-07-03"
10195.5,10362.200195,10195.5,10301.400391,554200,10301.400391,"2000-07-04"
10323.400391,10366.400391,10303.299805,10323.799805,95824200,10323.799805,"2000-07-05"
10310.400391,10310.400391,10153.099609,10242.599609,86167200,10242.599609,"2000-07-06"
10287.799805,10380.299805,10287.799805,10380.299805,67650000,10380.299805,"2000-07-07"
10354.200195,10380.700195,10235.400391,10235.400391,68041900,10235.400391,"2000-07-10"
10303.299805,10387,10240.599609,10350.299805,89865600,10350.299805,"2000-07-11"
10447,10572.900391,10443,10572.900391,76757900,10572.900391,"2000-07-12"
10634.700195,10751,10608.200195,10679.299805,88412700,10679.299805,"2000-07-13"
10807.099609,10814.700195,10778.799805,10778.799805,72201900,10778.799805,"2000-07-14"
10850.799805,10873.5,10814.700195,10844.5,62627800,10844.5,"2000-07-17"
10773.799805,10781.799805,10702.200195,10735.5,80443200,10735.5,"2000-07-18"
10735.400391,10735.400391,10630,10633.200195,77619800,10633.200195,"2000-07-19"
10727.599609,10826.900391,10727.599609,10740.799805,98947300,10740.799805,"2000-07-20"
10728.799805,10858.599609,10723.599609,10842.099609,73229300,10842.099609,"2000-07-21"
10927.599609,10983.299805,10731.700195,10783.5,66404600,10783.5,"2000-07-24"
10872.700195,10886.599609,10732.599609,10867.099609,92048900,10867.099609,"2000-07-25"
10931.900391,10955.799805,10890.299805,10916.099609,83387600,10916.099609,"2000-07-26"
10792.400391,10803.799805,10695.200195,10696.200195,75018800,10696.200195,"2000-07-27"
10705.900391,10705.900391,10343,10343,70719800,10343,"2000-07-28"
10408.200195,10580.099609,10313.200195,10406.299805,70325300,10406.299805,"2000-07-31"
10456.700195,10496.200195,10352.900391,10352.900391,73988700,10352.900391,"2000-08-01"
10354.900391,10437.599609,10354.599609,10368.5,90800100,10368.5,"2000-08-02"
10181.5,10425.299805,10181.5,10413.700195,73280400,10413.700195,"2000-08-03"
10516.099609,10569.200195,10509.700195,10567.5,52304600,10567.5,"2000-08-04"
10567.5,10567.5,10567.5,10567.5,0,10567.5,"2000-08-07"
10764.299805,10858.700195,10764.299805,10858.700195,81656000,10858.700195,"2000-08-08"
10973.5,10976.400391,10861.599609,10863,82312700,10863,"2000-08-09"
10890,10948.5,10796.5,10796.5,79140800,10796.5,"2000-08-10"
10785.599609,10813.700195,10709.599609,10788.799805,62567300,10788.799805,"2000-08-11"
10792.299805,10999.099609,10783.599609,10999.099609,62167700,10999.099609,"2000-08-14"
10985.799805,11060.599609,10985.799805,11032.299805,79830800,11032.299805,"2000-08-15"
11059.200195,11110.799805,10993.299805,11031,91164400,11031,"2000-08-16"
11066.200195,11133.400391,11047.099609,11098.200195,99914900,11098.200195,"2000-08-17"
11192.400391,11196.900391,11133.799805,11133.799805,64731100,11133.799805,"2000-08-18"
11116.700195,11147,11039.900391,11073.299805,64064700,11073.299805,"2000-08-21"
11138.200195,11182.400391,11102.599609,11137.200195,88253500,11137.200195,"2000-08-22"
11121,11146.700195,11100.5,11107.799805,106065100,11107.799805,"2000-08-23"
11131.099609,11179,11126.5,11179,97093200,11179,"2000-08-24"
11230.900391,11287.5,11222.900391,11246,88928500,11246,"2000-08-25"
11258.5,11325.400391,11222.200195,11224.5,88304500,11224.5,"2000-08-28"
11236,11241.5,11128.400391,11128.400391,91638400,11128.400391,"2000-08-29"
11172.700195,11189.700195,11162.5,11173.599609,75692000,11173.599609,"2000-08-30"
